Раздел «Соглашения при написании кода»: стандартов 35, знаков 142983

  std456  Тексты модулей                                                             5510 зн.
  std455  Структура модуля                                                          12679 зн.
  std647  Имена процедур и функций                                                   4159 зн.
  std453  Описание процедур и функций (Раздел обновлен!)                            19933 зн.
  std640  Параметры процедур и функций                                               8154 зн.
  std641  Особенности использования структур в качестве параметров процедур и функ   4575 зн.
  std454  Правила образования имен переменных                                        1333 зн.
  std686  Работа с параметром «Отказ» в обработчиках событий                         2887 зн.
  std441  Общие требования к построению конструкций встроенного языка                2226 зн.
  std444  Перенос выражений                                                          4906 зн.
  std440  Использование дублирующего кода                                            4202 зн.
  std439  Использование директив компиляции и инструкций препроцессора               3455 зн.
  std442  Определение типа значения переменной                                        541 зн.
  std445  Получение метаданных объектов                                              1092 зн.
  std492  Обработчики событий модуля формы, подключаемые из кода                     1278 зн.
  std639  Использование глобальных переменных в программных модулях                  5519 зн.
  std494  Предварительная инициализация локальных переменных                         1289 зн.
  std498  Использование Журнала регистрации                                          5988 зн.
  std499  Перехват исключений в коде                                                 6758 зн.
  std790  Вызов исключений в коде                                                    9312 зн.
  std547  Ограничение на использование оператора Перейти                             1262 зн.
  std452  Поиск в коллекциях значений                                                5800 зн.
  std447  Использование объекта РегистрСведенийМенеджерЗаписи                        1871 зн.
  std448  Копирование строк между таблицами значений (табличными частями и т.п.) п   1341 зн.
  std450  Порядок записи движений документов                                          926 зн.
  std449  Получение представлений для ссылочных значений в табличном документе       2060 зн.
  std451  Программное создание прикладных объектов                                   1526 зн.
  std486  Использование модуля объекта, модуля менеджера объекта и общих модулей     2353 зн.
  std544  Ограничения на использование экспортных процедур и функций                  537 зн.
  std411  Установка параметров выбора и связей параметров выбора для объектов мета   8440 зн.
  std409  Использование РеквизитФормыВЗначение и ДанныеФормыВЗначение                1232 зн.
  std407  Применение параметров отчета в СКД                                         1287 зн.
  std693  Использование объектов типа Структура                                      5871 зн.
  std781  Особенности сортировки в таблице значений                                  1296 зн.
  std782  Массовая конкатенация строк                                                1385 зн.
