Раздел «Реализация обработки данных»: стандартов 33, знаков 144252

  std437  Оформление текстов запросов                                                5894 зн.
  std436  Многократное выполнение однотипных запросов                                2882 зн.
  std438  Проверка на пустой результат выполнения запроса                            1159 зн.
  std435  Ограничение на использование конструкции "ПОЛНОЕ ВНЕШНЕЕ СОЕДИНЕНИЕ" в з   2857 зн.
  std434  Использование ключевых слов "ОБЪЕДИНИТЬ" и "ОБЪЕДИНИТЬ ВСЕ" в запросах     1287 зн.
  std412  Упорядочивание результатов запроса                                         4496 зн.
  std535  Округление результатов арифметических операций в запросах                  3586 зн.
  std726  Особенности использования в запросах оператора ПОДОБНО                     3692 зн.
  std758  Псевдонимы источников данных в запросах                                    2190 зн.
  std787  Вычисление количества записей в запросах                                   1540 зн.
  std729  Общие требования по разработке оптимальных запросов                        2952 зн.
  std652  Несоответствие индексов и условий запроса                                  7670 зн.
  std654  Разыменование ссылочных полей составного типа в языке запросов             6276 зн.
  std655  Ограничения на соединения с вложенными запросами и виртуальными таблицам   5565 зн.
  std656  Ограничения на использование вложенных запросов в условии соединения       2444 зн.
  std657  Обращения к виртуальным таблицам                                           5116 зн.
  std658  Эффективные условия запросов                                               7843 зн.
  std708  Разрешение итогов для периодических регистров сведений                     3766 зн.
  std733  Эффективное обращение к виртуальной таблице «Остатки»                      2756 зн.
  std777  Использование временных таблиц                                             2657 зн.
  std791  Дополнительные индексы                                                     2358 зн.
  std783  Транзакции: правила использования                                         12866 зн.
  std460  Использование управляемого режима блокировки                               1972 зн.
  std490  Блокировка данных объекта для редактирования из кода                       4780 зн.
  std648  Ответственное чтение данных                                                7884 зн.
  std496  Чтение отдельных реквизитов объекта из базы данных                         1792 зн.
  std497  Запись событий в историю работы пользователя                                988 зн.
  std792  Многократная запись регистров сведений и накопления                       19850 зн.
  std659  Общие сведения об избыточных блокировках                                   1778 зн.
  std662  Сдвиг границы последовательности документов                                2413 зн.
  std663  Режим разделения итогов для регистров бухгалтерии                          2425 зн.
  std664  Режим разделения итогов для регистров накопления                           3244 зн.
  std661  Блокирующее чтение остатков в начале транзакции                            5274 зн.
